izvajalec,drzava,leto_rojstva
Niall Horan,Ireland,1993
Liam Payne,United Kingdom,1993
Machine Gun Kelly,United States,1990
Clean Bandit,United Kingdom,
Anne-Marie,United Kingdom,1990
Portugal. The Man,United States,
21 Savage,United States,1992
J Balvin,Colombia,1985
Willy William,France,1981
Kodak Black,United States,1997
Brett Young,United States,1981
Aminé,United States,1994
Ayo & Teo,United States,
Zay Hilfigerrr & Zayion Mccall,,
Kesha,United States,1987
Frank Ocean,United States,1987
Kane Brown,United States,1993
Lauren Alaina,United States,1994
Katy Perry,United States,1984
Skip Marley,Jamaica,1996
Pharrell Williams,United States,1973
Jon Bellion,United States,1990
Luke Combs,,1990
Playboi Carti,United States,1995
SZA,United States,1989
A Boogie Wit Da Hoodie,United States,1995
Harry Styles,United Kingdom,1994
Miley Cyrus,United States,1992
Marian Hill,United States,
Cheat Codes,United States,
Dustin Lynch,United States,1985
Yfn Lucci,United States,1991
Pnb Rock,United States,1991
Blackbear,United States,1990
XXXTentacion,United States,1998
Keith Urban,United States,1967
Carrie Underwood,United States,1983
Bad Bunny,Puerto Rico,1994
Maren Morris,United States,1990
Juice Wrld,United States,1998
Ella Mai,United Kingdom,1994
Dua Lipa,United Kingdom,1995
Normani,United States,1996
Bazzi,United States,1997
Blocboy Jb,United States,1996
Lil Baby,United States,1994
Marshmello,,1992
Offset,United States,1991
NF,United States,1991
6ix9ine,United States,1996
Murda Beatz,Canada,1994
Dan + Shay,United States,
Lauv,United States,1994
5 Seconds Of Summer,United States,
Metro Boomin,United States,1993
Lil Pump,United States,2000
Zacari,United States,1994
Lil Dicky,United States,1988
Rich The Kid,United States,1992
YG,United States,1990
2 Chainz,United States,1977
Max,United States,1992
Jason Aldean,United States,1977
Asap Ferg,United States,1988
Miguel,,1985
Benny Blanco,United States,1988
Jay Rock,,1985
James Blake,United Kingdom,1988
Bastille,United Kingdom,
Nio García,,
Darell,,1990
Casper Mágico,,
Ozuna,Puerto Rico,1992
N.E.R.D,United States,
Chris Stapleton,United States,1978
Kenny Chesney,United States,1968
Youngboy Never Broke Again,United States,1999
Lil Nas X,United States,1999
Billy Ray Cyrus,United States,1961
Billie Eilish,United States,2001
Jonas Brothers,United States,
Panic! At The Disco,United States,
Lizzo,United States,1988
Lady Gaga,United States,1986
